,0
1487,H
1488,A
1489,H
1490,H
1491,H
1492,H
1493,H
1494,H
1495,H
1496,A
1497,H
1498,H
1499,A
1500,A
1501,A
1502,H
1503,H
1504,H
1505,A
1506,H
1507,H
1508,H
1509,A
1510,A
1511,A
1512,H
1513,H
1514,H
1515,H
1516,H
1517,A
1518,A
1519,H
1520,H
1521,H
1522,H
1523,H
1524,A
1525,H
1526,H
1527,H
1528,A
1529,A
1530,A
1531,H
1532,H
1533,A
1534,A
1535,H
1536,A
1537,A
1538,A
1539,H
1540,H
1541,A
1542,H
1543,H
1544,A
1545,H
1546,H
1547,H
1548,H
1549,H
1550,A
1551,A
1552,A
1553,H
1554,A
1555,A
1556,A
1557,H
1558,H
1559,A
1560,H
1561,A
1562,A
1563,H
1564,H
1565,H
1566,H
1567,A
1568,A
1569,A
1570,H
1571,H
1572,A
1573,H
1574,A
1575,H
1576,A
1577,H
1578,A
1579,A
1580,A
1581,H
1582,H
1583,H
1584,H
1585,H
1586,H
1587,H
1588,H
1589,A
1590,A
1591,H
1592,H
1593,H
1594,H
1595,A
1596,H
1597,H
1598,H
1599,H
1600,H
1601,H
1602,A
1603,A
1604,A
1605,H
1606,H
1607,A
1608,A
1609,H
1610,A
1611,H
1612,H
1613,A
1614,H
1615,A
1616,H
1617,H
1618,A
1619,A
1620,H
1621,H
1622,H
1623,H
1624,H
1625,H
1626,H
1627,A
1628,A
1629,H
1630,H
1631,H
1632,H
1633,A
1634,A
1635,A
1636,H
1637,A
1638,H
1639,H
1640,A
1641,A
1642,H
1643,H
1644,A
1645,H
1646,H
1647,H
1648,H
1649,A
1650,A
1651,H
1652,A
1653,H
1654,A
1655,A
1656,H
1657,H
1658,A
1659,A
1660,H
1661,A
1662,H
1663,H
1664,H
1665,H
1666,H
1667,A
1668,A
1669,H
1670,H
1671,H
1672,A
1673,A
1674,A
1675,H
1676,A
1677,H
1678,H
1679,H
1680,A
1681,A
1682,H
1683,A
1684,H
1685,A
1686,A
1687,A
1688,H
1689,A
1690,H
1691,H
1692,H
1693,H
1694,H
1695,A
1696,H
1697,H
1698,H
1699,H
1700,A
1701,H
1702,A
1703,H
1704,A
1705,H
1706,H
1707,H
1708,H
1709,H
1710,H
1711,A
1712,A
1713,H
1714,H
1715,H
1716,A
1717,H
1718,A
1719,H
1720,H
1721,H
1722,A
1723,A
1724,H
1725,H
1726,H
1727,A
1728,H
1729,A
1730,A
1731,H
1732,A
1733,A
1734,A
1735,A
1736,H
1737,H
1738,H
1739,H
1740,H
1741,H
1742,A
1743,A
1744,A
1745,H
1746,H
1747,H
1748,H
1749,A
1750,A
1751,A
1752,H
1753,H
1754,A
1755,H
1756,A
1757,A
1758,H
1759,H
1760,H
1761,H
1762,H
1763,H
1764,H
1765,A
1766,H
1767,H
1768,H
1769,A
1770,A
1771,H
1772,A
1773,A
1774,H
1775,A
1776,H
1777,H
1778,A
1779,H
1780,H
1781,H
1782,H
1783,H
1784,H
1785,H
1786,H
1787,H
1788,H
1789,A
1790,H
1791,H
1792,H
1793,A
1794,H
1795,H
1796,H
1797,H
1798,A
1799,A
1800,A
1801,H
1802,H
1803,A
1804,H
1805,H
1806,A
1807,A
1808,H
1809,H
1810,H
1811,H
1812,A
1813,A
1814,H
1815,H
1816,H
1817,H
1818,H
1819,H
1820,H
1821,A
1822,H
1823,H
1824,A
1825,H
1826,H
1827,A
1828,A
1829,H
1830,H
1831,H
1832,A
1833,H
1834,H
1835,A
1836,H
1837,A
1838,A
1839,H
1840,H
1841,A
1842,H
1843,H
1844,H
1845,H
1846,A
1847,H
1848,A
1849,H
1850,H
1851,A
1852,H
1853,H
1854,H
1855,H
1856,A
1857,A
1858,H
1859,H
